,sentiment,content
0,neutral,profchandler time start unfollowing people think
1,neutral,ismh anything fwd mobileme last week i ve gotten least spam message day
2,neutral,getting ready start work week tgif me monday
3,neutral,half want go sleep half dosen t shoot half dying sleepiness
4,neutral,seems like i m person postal voting upcoming election already twice get document
5,0,arm hurt
6,neutral,beer amp whiskey awesomness work hour sourness
7,neutral,argonman ouch
8,neutral,sarahkover that s black market material right there friend
9,neutral,hihat go setting ipod iphone home screen amp scroll bottom amp find twitterfon setting
10,neutral,jojouk good day
11,neutral,prmack community news sometimes accept guest post moment
12,neutral,southbel took computer new dvd drive amp screen come back order new computer amp wait
13,neutral,filling fmla form soccer amp t ball form working course
14,neutral,tommcfly oh no lot people starting tweet again hope could still read multiple tweet philippine tour please
15,0,everytime send email coach feel need practice shitty ball lol
16,neutral,surfin
17,0,bored without camera
18,neutral,think daveyboyonline sure looked sexy hat belongs cesyeuxblues
19,0,mood listen reg stuff sir told me u used huge fan mine seems forgotten song
20,0,flucio i m jerk can t go dammit frank suck bad
21,0,donald jackson already there s none left back cabbage soup
22,0,long day matinee evening show sad tomorrow last ever welsh college show
23,neutral,critic boat dining bone peru double
24,neutral,charliefogg lol ok
25,0,feel really weird
26,neutral,moanasaves right
27,neutral,right glorious day sat inside must go something active good day
28,neutral,cool people want find following today english guess english tweet
29,neutral,djmoonlight yay dont one lol clothes go draw dont many need place high heel shoe
30,neutral,zaroi dammit beat
31,neutral,delta yes also use desktop s mouse ketboard ot second monitor http twitpic com wlpf
32,neutral,good morning
33,neutral,raerobinson handle tg
34,neutral,marktesch local dish borrow
35,0,relaxing day park sun back work tomorrow
36,0,mr kimbalicious milk have drink think thats whats making feel sick
37,0,joshjnap i m honestly incredibly upset make it devestated even would lost whole travel day suck
38,neutral,ozdj also swirly flat white
39,neutral,gonna go see sister mount saini least another hour
40,neutral,maaate grooovin chain uploading video youtube www youtube com sluzzaa go watch
41,neutral,bb apparently you
42,neutral,myprivatekeri thank
43,0,mb triste
44,neutral,musicsinmysoul http twitpic com wi hmm thats bu tour list but thats cool say
45,neutral,well getting through
46,neutral,undeniablyfaith post reminded sit something out look like steak dinner
47,0,ng got it poor thing gonna choice much longer though
48,neutral,johnmoi ha good morning may fourth
49,neutral,mell e im going dance class
50,0,joining facebeek loser friend amy you
51,0,na nkotb lol r loser u drove hour day u need rest day i m still tired lol
52,neutral,i m going fafsa form today hope help ann arbor detroit metro area computer art design
53,neutral,updating latest version adium now great app
54,neutral,mobilebomb hope he ll get well soon possible amp back hyper dog
55,neutral,cleaning house
56,0,pairadocsdesign radio x going sport next month radio dead grandrapids
57,neutral,going dinnerr soon thai
58,0,layin n bed headache ughhhh waitin call
59,neutral,sacramento nice weather sacramento dry hot weather hear raining la
60,neutral,level http plurk com p stvri
61,0,rosegraymusic tuned listen meeting know high school college french cut anymore
62,0,dis damn usb charger good nothin gotta find verizon store fone dead since last nite
63,neutral,realized im going home week today
64,neutral,hellojao hi add me shannen
65,neutral,cleaned screen new pc do machine took another quot screenshot quot http bit ly qlzp
66,0,harley passed away december http apps facebook com dogbook profile view
67,neutral,deck perfect weather today feeling good tho
68,neutral,downside client site donut today
69,0,heard icecream truck took like shot catch it
70,0,missed call
71,0,drinking cordial yes im bored
72,0,oh zombiepix follow anymore need someone cheer
73,0,visadharah i m still disney just trained soarin rose same applied apartment last night eric lost job
74,0,think world mileycyrus hannah montana set im missing tennessee alot today
75,neutral,terremum http chelseavantol etsy com xo
76,0,stephenjerzak awww didnt pas speech
77,neutral,guylainem would nice
78,0,spanish crap
79,0,round two vega vanilla chai flavor realized day left
80,0,niecied nice idea m i l gift crochet it good idea looking online youtube video showing lefty crochet
81,0,leslie pearlman mow love mow
82,0,gonna sound really sad amp depressing really really miss uncle sam
83,neutral,recording new song
84,neutral,ohhh mannnn laid girl economy improve soon
85,neutral,wanna session ronnie da bomb u know
86,neutral,bellisma please
87,neutral,justin s blanket shed black lint white skirt
88,0,drum made people set so give back
89,0,asthma issue today bah
90,neutral,need increase salary http plurk com p wxluu
91,neutral,string trio
92,neutral,listening new jonas brother song
93,neutral,shadowsinstone g night
94,neutral,nothing gt lt any wanna keep company
95,neutral,forgot fan too haha
96,neutral,watching gossip girl
97,neutral,dancing monk neither elp
98,neutral,missed bl y bus
99,0,trying find friend luck
100,neutral,shebeegee jersey weather good charity drive
101,neutral,leodisbeanie involves posting thought reading others mr bean got new number btw txts back you
102,neutral,patay na pala si pat morita sensei karate kid quot wax on wax off quot http plurk com p xgey
103,neutral,robbieeeee aha ok might see yano
